ma_nhan_vien,ho_ten,ho_ten_chuan,don_vi,chuc_vu,email
NV063342,Hoàng Ngọc Phương,hoang ngoc phuong,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Phó trưởng phòng,nv063342@donvi.gov.vn
NV063343,Trần Bích Thảo,tran bich thao,Phòng Thanh tra - Cục Kế hoạch - Tài chính (CA),Nhân viên,nv063343@donvi.gov.vn
NV063344,Huỳnh Diệu Huyền,huynh dieu huyen,Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Chuyên viên chính,nv063344@donvi.gov.vn
NV063345,Ngô Công Tuấn,ngo cong tuan,Phòng Đào tạo - Cục Chính trị (BQP),Chuyên viên,nv063345@donvi.gov.vn
NV063346,Bùi Bích Vy,bui bich vy,Phòng Tác chiến - Cục Chính trị (CA),Chuyên viên chính,nv063346@donvi.gov.vn
NV063347,Lê Thị Trang,le thi trang,Phòng Nhân sự - Cục Tác chiến (BQP),Trưởng phòng,nv063347@donvi.gov.vn
NV063348,Dương Minh Tuấn,duong minh tuan,Phòng Hành chính - Cục Tham mưu (BQP),Chuyên viên,nv063348@donvi.gov.vn
NV063349,Võ Văn Quang,vo van quang,Phòng Truyền thông - Cục Chính trị (CA),Thành viên,nv063349@donvi.gov.vn
NV063350,Lê Ngọc Lan,le ngoc lan,Phòng Pháp chế - Cục Chính trị (BQP),Thành viên,nv063350@donvi.gov.vn
NV063351,Huỳnh Minh Cường,huynh minh cuong,Phòng Đào tạo - Cục Tham mưu (BQP),Trưởng nhóm,nv063351@donvi.gov.vn
NV063352,Vũ Bích Hà,vu bich ha,Phòng Nhân sự - Cục Tác chiến (BQP),Trưởng nhóm,nv063352@donvi.gov.vn
NV063353,Bùi Bích Hoa,bui bich hoa,Phòng Thanh tra - Cục Kế hoạch - Tài chính (BQP),Chuyên viên,nv063353@donvi.gov.vn
NV063354,Hoàng Hữu Quang,hoang huu quang,Phòng Công nghệ - Cục Tác chiến (BQP),Trưởng nhóm,nv063354@donvi.gov.vn
NV063355,Hoàng Thu Chi,hoang thu chi,Phòng Pháp chế - Cục Chính trị (BQP),Phó trưởng phòng,nv063355@donvi.gov.vn
NV063356,Đỗ Quốc Sơn,do quoc son,Phòng Tác chiến - Cục Chính trị (CA),Chuyên viên chính,nv063356@donvi.gov.vn
NV063357,Võ Thành Quang,vo thanh quang,Phòng Hành chính - Cục Kế hoạch - Tài chính (CA),Chuyên viên,nv063357@donvi.gov.vn
NV063358,Lý Thành Quang,ly thanh quang,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Phó trưởng phòng,nv063358@donvi.gov.vn
NV063359,Đỗ Quốc Đạt,do quoc dat,Phòng Truyền thông - Cục Chính trị (CA),Thành viên,nv063359@donvi.gov.vn
NV063360,Vũ Công Phong,vu cong phong,Phòng Công nghệ - Cục Chính trị (BQP),Phó trưởng phòng,nv063360@donvi.gov.vn
NV063361,Huỳnh Thành Hải,huynh thanh hai,Phòng Nhân sự - Cục Quân huấn (CA),Phó trưởng phòng,nv063361@donvi.gov.vn
NV063362,Hoàng Hữu Quang,hoang huu quang,Phòng Nhân sự - Cục Chính trị (BQP),Chuyên viên,nv063362@donvi.gov.vn
NV063363,Đỗ Thu Hoa,do thu hoa,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Phó trưởng phòng,nv063363@donvi.gov.vn
NV063364,Hồ Công Phong,ho cong phong,Phòng Công nghệ - Cục Chính trị (BQP),Nhân viên,nv063364@donvi.gov.vn
NV063365,Hồ Bích Phương,ho bich phuong,Phòng Thanh tra - Cục Chính trị (BQP),Trưởng nhóm,nv063365@donvi.gov.vn
NV063366,Nguyễn Thu Dung,nguyen thu dung,Phòng Nhân sự - Cục Chính trị (CA),Trưởng nhóm,nv063366@donvi.gov.vn
NV063367,Hoàng Ngọc Huyền,hoang ngoc huyen,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Chuyên viên chính,nv063367@donvi.gov.vn
NV063368,Hoàng Minh Đạt,hoang minh dat,Phòng Hành chính - Cục Tham mưu (CA),Phó trưởng phòng,nv063368@donvi.gov.vn
NV063369,Lý Văn Thắng,ly van thang,Phòng Đào tạo - Cục Quân huấn (CA),Nhân viên,nv063369@donvi.gov.vn
NV063370,Võ Quốc Việt,vo quoc viet,Phòng Pháp chế - Cục Tham mưu (CA),Thành viên,nv063370@donvi.gov.vn
NV063371,Trần Ngọc Chi,tran ngoc chi,Phòng Nhân sự - Cục Chính trị (BQP),Phó trưởng phòng,nv063371@donvi.gov.vn
NV063372,Vũ Văn Hải,vu van hai,Phòng Truyền thông - Cục Tham mưu (CA),Trưởng nhóm,nv063372@donvi.gov.vn
NV063373,Ngô Diệu Huyền,ngo dieu huyen,Phòng Thanh tra - Cục Quân huấn (CA),Chuyên viên chính,nv063373@donvi.gov.vn
NV063374,Phan Diệu Mai,phan dieu mai,Phòng Kỹ thuật - Cục Kế hoạch - Tài chính (BQP),Trưởng phòng,nv063374@donvi.gov.vn
NV063375,Nguyễn Quốc Giang,nguyen quoc giang,Phòng Tác chiến - Cục Chính trị (CA),Trưởng phòng,nv063375@donvi.gov.vn
NV063376,Hồ Minh Hải,ho minh hai,Phòng Đào tạo - Cục Quân huấn (CA),Trưởng phòng,nv063376@donvi.gov.vn
NV063377,Dương Hữu Nam,duong huu nam,Phòng Nhân sự - Cục Tham mưu (BQP),Chuyên viên chính,nv063377@donvi.gov.vn
NV063378,Đặng Công Đạt,dang cong dat,Phòng Tác chiến - Cục Kỹ thuật (BQP),Nhân viên,nv063378@donvi.gov.vn
NV063379,Lê Thành An,le thanh an,Phòng Nhân sự - Cục Tác chiến (BQP),Phó trưởng phòng,nv063379@donvi.gov.vn
NV063380,Lý Thị Chi,ly thi chi,Phòng Công nghệ - Cục Tổ chức cán bộ (CA),Trưởng phòng,nv063380@donvi.gov.vn
NV063381,Đặng Công Tuấn,dang cong tuan,Phòng Truyền thông - Cục Tham mưu (CA),Nhân viên,nv063381@donvi.gov.vn
NV063382,Nguyễn Thành Hải,nguyen thanh hai,Phòng Tác chiến - Cục Kế hoạch - Tài chính (BQP),Trưởng nhóm,nv063382@donvi.gov.vn
NV063383,Nguyễn Văn Cường,nguyen van cuong,Phòng Hành chính - Cục Tham mưu (CA),Chuyên viên chính,nv063383@donvi.gov.vn
NV063384,Hoàng Văn Cường,hoang van cuong,Phòng Nhân sự - Cục Quân huấn (CA),Chuyên viên,nv063384@donvi.gov.vn
NV063385,Đặng Công Giang,dang cong giang,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Chuyên viên chính,nv063385@donvi.gov.vn
NV063386,Võ Đức Việt,vo duc viet,Phòng Pháp chế - Cục Tác chiến (BQP),Chuyên viên chính,nv063386@donvi.gov.vn
NV063387,Đặng Hữu Phong,dang huu phong,Phòng Hành chính - Cục Kế hoạch - Tài chính (CA),Chuyên viên,nv063387@donvi.gov.vn
NV063388,Lý Minh Tâm,ly minh tam,Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Trưởng nhóm,nv063388@donvi.gov.vn
NV063389,Đặng Ngọc Chi,dang ngoc chi,Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Phó trưởng phòng,nv063389@donvi.gov.vn
NV063390,Trần Kim Anh,tran kim anh,Phòng Nhân sự - Cục Kế hoạch - Tài chính (BQP),Nhân viên,nv063390@donvi.gov.vn
NV063391,Phạm Văn Quang,pham van quang,Phòng Nhân sự - Cục Kế hoạch - Tài chính (BQP),Thành viên,nv063391@donvi.gov.vn
NV063392,Phạm Diệu Thủy,pham dieu thuy,Phòng Đào tạo - Cục Tham mưu (BQP),Thành viên,nv063392@donvi.gov.vn
NV063393,Huỳnh Minh Tuấn,huynh minh tuan,Phòng Công nghệ - Cục Chính trị (CA),Phó trưởng phòng,nv063393@donvi.gov.vn
NV063394,Lý Thị Linh,ly thi linh,Phòng Kỹ thuật - Cục Tham mưu (BQP),Trưởng nhóm,nv063394@donvi.gov.vn
NV063395,Phạm Quốc Tâm,pham quoc tam,Phòng Truyền thông - Cục Tham mưu (CA),Nhân viên,nv063395@donvi.gov.vn
NV063396,Dương Hữu Nam,duong huu nam,Phòng Tác chiến - Cục Quân huấn (CA),Chuyên viên chính,nv063396@donvi.gov.vn
NV063397,Dương Hữu Nam,duong huu nam,Phòng Nhân sự - Cục Chính trị (BQP),Thành viên,nv063397@donvi.gov.vn
NV063398,Dương Bích Hà,duong bich ha,Phòng Nhân sự - Cục Quân huấn (CA),Trưởng phòng,nv063398@donvi.gov.vn
NV063399,Đỗ Hồng Nga,do hong nga,Phòng Truyền thông - Cục Chính trị (CA),Chuyên viên,nv063399@donvi.gov.vn
NV063400,Đỗ Công Giang,do cong giang,Phòng Nhân sự - Cục Chính trị (BQP),Chuyên viên,nv063400@donvi.gov.vn
NV063401,Lý Minh Hải,ly minh hai,Phòng Công nghệ - Cục Tổ chức cán bộ (CA),Trưởng phòng,nv063401@donvi.gov.vn
NV063402,Vũ Văn Quang,vu van quang,Phòng Nhân sự - Cục Tham mưu (BQP),Chuyên viên,nv063402@donvi.gov.vn
NV063403,Ngô Ngọc Yến,ngo ngoc yen,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Chuyên viên chính,nv063403@donvi.gov.vn
NV063404,Võ Kim Thảo,vo kim thao,Phòng Nhân sự - Cục Kế hoạch - Tài chính (BQP),Phó trưởng phòng,nv063404@donvi.gov.vn
NV063405,Trần Kim Xuân,tran kim xuan,Phòng Pháp chế - Cục Kế hoạch - Tài chính (CA),Trưởng nhóm,nv063405@donvi.gov.vn
NV063406,Phan Bích Vy,phan bich vy,Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Phó trưởng phòng,nv063406@donvi.gov.vn
NV063407,Trần Minh Giang,tran minh giang,Phòng Tác chiến - Cục Kế hoạch - Tài chính (BQP),Trưởng phòng,nv063407@donvi.gov.vn
NV063408,Võ Kim Trang,vo kim trang,Phòng Tác chiến - Cục Tham mưu (CA),Thành viên,nv063408@donvi.gov.vn
NV063409,Võ Hữu Sơn,vo huu son,Phòng Công nghệ - Cục Tác chiến (BQP),Trưởng nhóm,nv063409@donvi.gov.vn
NV063410,Hoàng Bích Phương,hoang bich phuong,Phòng Tác chiến - Cục Quân huấn (CA),Phó trưởng phòng,nv063410@donvi.gov.vn
NV063411,Hoàng Thu Thảo,hoang thu thao,Phòng Đào tạo - Cục Chính trị (BQP),Nhân viên,nv063411@donvi.gov.vn
NV063412,Nguyễn Bích Xuân,nguyen bich xuan,Phòng Thanh tra - Cục Tham mưu (CA),Phó trưởng phòng,nv063412@donvi.gov.vn
NV063413,Võ Thị Lan,vo thi lan,Phòng Truyền thông - Cục Chính trị (CA),Trưởng nhóm,nv063413@donvi.gov.vn
NV063414,Nguyễn Quốc Quang,nguyen quoc quang,Phòng Thanh tra - Cục Kế hoạch - Tài chính (CA),Trưởng phòng,nv063414@donvi.gov.vn
NV063415,Vũ Công Phong,vu cong phong,Phòng Nhân sự - Cục Chính trị (BQP),Chuyên viên chính,nv063415@donvi.gov.vn
NV063416,Phan Diệu Huyền,phan dieu huyen,Phòng Nhân sự - Cục Quân huấn (CA),Trưởng nhóm,nv063416@donvi.gov.vn
NV063417,Vũ Minh Sơn,vu minh son,Phòng Truyền thông - Cục Kỹ thuật (BQP),Trưởng phòng,nv063417@donvi.gov.vn
NV063418,Phạm Đức Tâm,pham duc tam,Phòng Đào tạo - Cục Chính trị (BQP),Chuyên viên chính,nv063418@donvi.gov.vn
NV063419,Ngô Bích Phương,ngo bich phuong,Phòng Đào tạo - Cục Quân huấn (CA),Trưởng nhóm,nv063419@donvi.gov.vn
NV063420,Trần Công Bình,tran cong binh,Phòng Pháp chế - Cục Tham mưu (CA),Trưởng nhóm,nv063420@donvi.gov.vn
NV063421,Vũ Bích Anh,vu bich anh,Phòng Truyền thông - Cục Tham mưu (CA),Nhân viên,nv063421@donvi.gov.vn
NV063422,Hồ Hữu Thắng,ho huu thang,Phòng Truyền thông - Cục Tham mưu (CA),Trưởng phòng,nv063422@donvi.gov.vn
NV063423,Dương Hồng Dung,duong hong dung,Phòng Đào tạo - Cục Quân huấn (CA),Chuyên viên,nv063423@donvi.gov.vn
NV063424,Trần Kim Phương,tran kim phuong,Phòng Nhân sự - Cục Chính trị (BQP),Trưởng phòng,nv063424@donvi.gov.vn
NV063425,Lê Ngọc Linh,le ngoc linh,Phòng Công nghệ - Cục Chính trị (BQP),Trưởng nhóm,nv063425@donvi.gov.vn
NV063426,Vũ Đức Cường,vu duc cuong,Phòng Pháp chế - Cục Chính trị (BQP),Trưởng nhóm,nv063426@donvi.gov.vn
NV063427,Phạm Ngọc Thảo,pham ngoc thao,Phòng Tác chiến - Cục Chính trị (CA),Phó trưởng phòng,nv063427@donvi.gov.vn
NV063428,Trần Kim Yến,tran kim yen,Phòng Nhân sự - Cục Tác chiến (BQP),Thành viên,nv063428@donvi.gov.vn
NV063429,Dương Văn Thắng,duong van thang,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Trưởng nhóm,nv063429@donvi.gov.vn
NV063430,Ngô Bích Linh,ngo bich linh,Phòng Nhân sự - Cục Chính trị (CA),Trưởng phòng,nv063430@donvi.gov.vn
NV063431,Bùi Thị Huyền,bui thi huyen,Phòng Công nghệ - Cục Chính trị (CA),Chuyên viên chính,nv063431@donvi.gov.vn
NV063432,Hồ Bích Vy,ho bich vy,Phòng Truyền thông - Cục Kỹ thuật (BQP),Trưởng nhóm,nv063432@donvi.gov.vn
NV063433,Hồ Hữu Long,ho huu long,Phòng Tác chiến - Cục Chính trị (BQP),Trưởng phòng,nv063433@donvi.gov.vn
NV063434,Vũ Thành Hùng,vu thanh hung,Phòng Kỹ thuật - Cục Kế hoạch - Tài chính (BQP),Trưởng nhóm,nv063434@donvi.gov.vn
NV063435,Võ Đức Quang,vo duc quang,Phòng Công nghệ - Cục Tác chiến (BQP),Chuyên viên,nv063435@donvi.gov.vn
NV063436,Đặng Đức Dũng,dang duc dung,Phòng Nhân sự - Cục Tác chiến (BQP),Chuyên viên chính,nv063436@donvi.gov.vn
NV063437,Đặng Văn Phong,dang van phong,Phòng Công nghệ - Cục Tổ chức cán bộ (CA),Chuyên viên chính,nv063437@donvi.gov.vn
NV063438,Ngô Đức Long,ngo duc long,Phòng Thanh tra - Cục Kế hoạch - Tài chính (BQP),Chuyên viên,nv063438@donvi.gov.vn
NV063439,Vũ Thành Dũng,vu thanh dung,Phòng Pháp chế - Cục Kế hoạch - Tài chính (CA),Nhân viên,nv063439@donvi.gov.vn
NV063440,Võ Bích Hoa,vo bich hoa,Phòng Đào tạo - Cục Quân huấn (CA),Phó trưởng phòng,nv063440@donvi.gov.vn
NV063441,Nguyễn Thu Xuân,nguyen thu xuan,Phòng Đào tạo - Cục Kỹ thuật (BQP),Trưởng phòng,nv063441@donvi.gov.vn
NV063442,Huỳnh Thành Long,huynh thanh long,Phòng Pháp chế - Cục Tác chiến (BQP),Thành viên,nv063442@donvi.gov.vn
NV063443,Hồ Diệu Nga,ho dieu nga,Phòng Tác chiến - Cục Tham mưu (CA),Nhân viên,nv063443@donvi.gov.vn
NV063444,Bùi Ngọc Dung,bui ngoc dung,Phòng Pháp chế - Cục Kế hoạch - Tài chính (CA),Nhân viên,nv063444@donvi.gov.vn
NV063445,Dương Thị Mai,duong thi mai,Phòng Truyền thông - Cục Tham mưu (CA),Trưởng nhóm,nv063445@donvi.gov.vn
NV063446,Phan Thành Giang,phan thanh giang,Phòng Thanh tra - Cục Tổ chức cán bộ (CA),Thành viên,nv063446@donvi.gov.vn
NV063447,Lê Ngọc Xuân,le ngoc xuan,Phòng Nhân sự - Cục Chính trị (CA),Nhân viên,nv063447@donvi.gov.vn
NV063448,Nguyễn Văn Tuấn,nguyen van tuan,Phòng Công nghệ - Cục Tổ chức cán bộ (CA),Phó trưởng phòng,nv063448@donvi.gov.vn
NV063449,Trần Đức Sơn,tran duc son,Phòng Truyền thông - Cục Kỹ thuật (BQP),Nhân viên,nv063449@donvi.gov.vn
NV063450,Lý Minh Khang,ly minh khang,Phòng Pháp chế - Cục Tác chiến (BQP),Trưởng nhóm,nv063450@donvi.gov.vn
NV063451,Phan Văn Cường,phan van cuong,Phòng Nhân sự - Cục Chính trị (CA),Nhân viên,nv063451@donvi.gov.vn
NV063452,Nguyễn Diệu Dung,nguyen dieu dung,Phòng Nhân sự - Cục Kế hoạch - Tài chính (BQP),Trưởng phòng,nv063452@donvi.gov.vn
NV063453,Hồ Minh Nam,ho minh nam,Phòng Kỹ thuật - Cục Kế hoạch - Tài chính (BQP),Thành viên,nv063453@donvi.gov.vn
NV063454,Dương Hữu Tuấn,duong huu tuan,Phòng Thanh tra - Cục Tổ chức cán bộ (CA),Chuyên viên,nv063454@donvi.gov.vn
NV063455,Hoàng Hữu Việt,hoang huu viet,Phòng Thanh tra - Cục Tổ chức cán bộ (CA),Thành viên,nv063455@donvi.gov.vn
NV063456,Trần Quốc Cường,tran quoc cuong,Phòng Tác chiến - Cục Chính trị (BQP),Chuyên viên chính,nv063456@donvi.gov.vn
NV063457,Nguyễn Thị Hoa,nguyen thi hoa,Phòng Công nghệ - Cục Tổ chức cán bộ (CA),Chuyên viên,nv063457@donvi.gov.vn
NV063458,Lê Thị Anh,le thi anh,Phòng Nhân sự - Cục Chính trị (BQP),Trưởng nhóm,nv063458@donvi.gov.vn
NV063459,Nguyễn Hữu Phong,nguyen huu phong,Phòng Tác chiến - Cục Chính trị (BQP),Thành viên,nv063459@donvi.gov.vn
NV063460,Đặng Diệu Hoa,dang dieu hoa,Phòng Pháp chế - Cục Tham mưu (CA),Trưởng phòng,nv063460@donvi.gov.vn
NV063461,Bùi Thành Phong,bui thanh phong,Phòng Hành chính - Cục Tham mưu (BQP),Thành viên,nv063461@donvi.gov.vn
NV063462,Phan Ngọc Vy,phan ngoc vy,Phòng Tác chiến - Cục Quân huấn (CA),Nhân viên,nv063462@donvi.gov.vn
NV063463,Trần Minh Dũng,tran minh dung,Phòng Tác chiến - Cục Kỹ thuật (BQP),Chuyên viên chính,nv063463@donvi.gov.vn
NV063464,Lý Công Bình,ly cong binh,Phòng Nhân sự - Cục Tham mưu (BQP),Nhân viên,nv063464@donvi.gov.vn
NV063465,Đỗ Diệu Phương,do dieu phuong,Phòng Truyền thông - Cục Kỹ thuật (BQP),Chuyên viên,nv063465@donvi.gov.vn
NV063466,Dương Thu Linh,duong thu linh,Phòng Nhân sự - Cục Chính trị (BQP),Trưởng phòng,nv063466@donvi.gov.vn
NV063467,Huỳnh Công Quang,huynh cong quang,Phòng Truyền thông - Cục Chính trị (CA),Chuyên viên,nv063467@donvi.gov.vn
NV063468,Lê Văn Sơn,le van son,Phòng Công nghệ - Cục Tác chiến (BQP),Thành viên,nv063468@donvi.gov.vn
NV063469,Dương Đức Dũng,duong duc dung,Phòng Tác chiến - Cục Tham mưu (CA),Chuyên viên,nv063469@donvi.gov.vn
NV063470,Bùi Ngọc Vy,bui ngoc vy,Phòng Tác chiến - Cục Kế hoạch - Tài chính (BQP),Thành viên,nv063470@donvi.gov.vn
NV063471,Hồ Thu Thảo,ho thu thao,Phòng Công nghệ - Cục Tổ chức cán bộ (CA),Chuyên viên chính,nv063471@donvi.gov.vn
NV063472,Lý Thị Phương,ly thi phuong,Phòng Hành chính - Cục Tham mưu (CA),Thành viên,nv063472@donvi.gov.vn
NV063473,Bùi Diệu Thủy,bui dieu thuy,Phòng Pháp chế - Cục Kế hoạch - Tài chính (CA),Chuyên viên chính,nv063473@donvi.gov.vn
NV063474,Nguyễn Ngọc Nga,nguyen ngoc nga,Phòng Pháp chế - Cục Chính trị (BQP),Trưởng nhóm,nv063474@donvi.gov.vn
NV063475,Đặng Minh Khang,dang minh khang,Phòng Hành chính - Cục Kế hoạch - Tài chính (CA),Trưởng nhóm,nv063475@donvi.gov.vn
NV063476,Dương Đức Hùng,duong duc hung,Phòng Nhân sự - Cục Tham mưu (BQP),Chuyên viên,nv063476@donvi.gov.vn
NV063477,Phạm Bích Phương,pham bich phuong,Phòng Pháp chế - Cục Kế hoạch - Tài chính (CA),Trưởng nhóm,nv063477@donvi.gov.vn
NV063478,Trần Đức Khang,tran duc khang,Phòng Pháp chế - Cục Chính trị (BQP),Thành viên,nv063478@donvi.gov.vn
NV063479,Lý Văn Tuấn,ly van tuan,Phòng Nhân sự - Cục Chính trị (CA),Thành viên,nv063479@donvi.gov.vn
NV063480,Phạm Thu Lan,pham thu lan,Phòng Tác chiến - Cục Quân huấn (CA),Phó trưởng phòng,nv063480@donvi.gov.vn
NV063481,Nguyễn Thị Trang,nguyen thi trang,Phòng Truyền thông - Cục Tham mưu (CA),Nhân viên,nv063481@donvi.gov.vn
NV063482,Phan Minh Việt,phan minh viet,Phòng Nhân sự - Cục Quân huấn (CA),Nhân viên,nv063482@donvi.gov.vn
NV063483,Hồ Thu Lan,ho thu lan,Phòng Tác chiến - Cục Tham mưu (CA),Phó trưởng phòng,nv063483@donvi.gov.vn
NV063484,Đỗ Hồng Thảo,do hong thao,Phòng Nhân sự - Cục Chính trị (CA),Nhân viên,nv063484@donvi.gov.vn
NV063485,Hồ Hồng Linh,ho hong linh,Phòng Nhân sự - Cục Kế hoạch - Tài chính (BQP),Trưởng nhóm,nv063485@donvi.gov.vn
NV063486,Phan Thành Đạt,phan thanh dat,Phòng Đào tạo - Cục Kỹ thuật (BQP),Trưởng phòng,nv063486@donvi.gov.vn
NV063487,Hoàng Quốc Quang,hoang quoc quang,Phòng Đào tạo - Cục Chính trị (BQP),Thành viên,nv063487@donvi.gov.vn
NV063488,Đặng Thị Linh,dang thi linh,Phòng Công nghệ - Cục Chính trị (BQP),Chuyên viên chính,nv063488@donvi.gov.vn
NV063489,Hồ Văn Tâm,ho van tam,Phòng Đào tạo - Cục Tham mưu (BQP),Trưởng phòng,nv063489@donvi.gov.vn
NV063490,Hồ Đức Cường,ho duc cuong,Phòng Pháp chế - Cục Tác chiến (BQP),Trưởng nhóm,nv063490@donvi.gov.vn
NV063491,Lê Đức Quang,le duc quang,Phòng Hành chính - Cục Kế hoạch - Tài chính (CA),Trưởng phòng,nv063491@donvi.gov.vn
NV063492,Lê Thị Trang,le thi trang,Phòng Tác chiến - Cục Quân huấn (CA),Phó trưởng phòng,nv063492@donvi.gov.vn
NV063493,Ngô Thành Tuấn,ngo thanh tuan,Phòng Nhân sự - Cục Tham mưu (BQP),Chuyên viên chính,nv063493@donvi.gov.vn
NV063494,Ngô Văn An,ngo van an,Phòng Đào tạo - Cục Quân huấn (CA),Thành viên,nv063494@donvi.gov.vn
NV063495,Dương Diệu Vy,duong dieu vy,Phòng Pháp chế - Cục Tham mưu (CA),Trưởng phòng,nv063495@donvi.gov.vn
NV063496,Dương Minh Phong,duong minh phong,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Nhân viên,nv063496@donvi.gov.vn
NV063497,Trần Công Hải,tran cong hai,Phòng Nhân sự - Cục Tham mưu (BQP),Trưởng nhóm,nv063497@donvi.gov.vn
NV063498,Dương Diệu Yến,duong dieu yen,Phòng Pháp chế - Cục Kế hoạch - Tài chính (CA),Thành viên,nv063498@donvi.gov.vn
NV063499,Phạm Đức An,pham duc an,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Trưởng nhóm,nv063499@donvi.gov.vn
NV063500,Vũ Thành Long,vu thanh long,Phòng Đào tạo - Cục Chính trị (BQP),Phó trưởng phòng,nv063500@donvi.gov.vn
NV063501,Dương Diệu Nga,duong dieu nga,Phòng Hành chính - Cục Tham mưu (BQP),Chuyên viên chính,nv063501@donvi.gov.vn
NV063502,Hồ Diệu Hoa,ho dieu hoa,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Trưởng phòng,nv063502@donvi.gov.vn
NV063503,Dương Diệu Yến,duong dieu yen,Phòng Nhân sự - Cục Tác chiến (BQP),Chuyên viên,nv063503@donvi.gov.vn
NV063504,Nguyễn Hồng Thảo,nguyen hong thao,Phòng Kỹ thuật - Cục Tham mưu (BQP),Thành viên,nv063504@donvi.gov.vn
NV063505,Võ Diệu Xuân,vo dieu xuan,Phòng Thanh tra - Cục Quân huấn (CA),Trưởng phòng,nv063505@donvi.gov.vn
NV063506,Huỳnh Đức An,huynh duc an,Phòng Tác chiến - Cục Kế hoạch - Tài chính (BQP),Thành viên,nv063506@donvi.gov.vn
NV063507,Huỳnh Ngọc Thủy,huynh ngoc thuy,Phòng Thanh tra - Cục Tham mưu (CA),Chuyên viên chính,nv063507@donvi.gov.vn
NV063508,Đỗ Minh An,do minh an,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Phó trưởng phòng,nv063508@donvi.gov.vn
NV063509,Trần Đức Đạt,tran duc dat,Phòng Thanh tra - Cục Tổ chức cán bộ (CA),Chuyên viên,nv063509@donvi.gov.vn
NV063510,Võ Thị Linh,vo thi linh,Phòng Thanh tra - Cục Kế hoạch - Tài chính (BQP),Trưởng nhóm,nv063510@donvi.gov.vn
NV063511,Võ Đức Phong,vo duc phong,Phòng Công nghệ - Cục Chính trị (CA),Chuyên viên chính,nv063511@donvi.gov.vn
NV063512,Vũ Thị Linh,vu thi linh,Phòng Công nghệ - Cục Tác chiến (BQP),Thành viên,nv063512@donvi.gov.vn
NV063513,Huỳnh Minh Tâm,huynh minh tam,Phòng Kỹ thuật - Cục Kế hoạch - Tài chính (BQP),Phó trưởng phòng,nv063513@donvi.gov.vn
NV063514,Dương Thị Yến,duong thi yen,Phòng Đào tạo - Cục Quân huấn (CA),Phó trưởng phòng,nv063514@donvi.gov.vn
NV063515,Nguyễn Thị Thảo,nguyen thi thao,Phòng Nhân sự - Cục Kế hoạch - Tài chính (BQP),Thành viên,nv063515@donvi.gov.vn
NV063516,Phạm Hồng Linh,pham hong linh,Phòng Tác chiến - Cục Tham mưu (CA),Chuyên viên chính,nv063516@donvi.gov.vn
NV063517,Võ Diệu Trang,vo dieu trang,Phòng Nhân sự - Cục Chính trị (CA),Chuyên viên,nv063517@donvi.gov.vn
NV063518,Võ Đức Giang,vo duc giang,Phòng Truyền thông - Cục Chính trị (CA),Trưởng nhóm,nv063518@donvi.gov.vn
NV063519,Lý Công Nam,ly cong nam,Phòng Pháp chế - Cục Tham mưu (CA),Nhân viên,nv063519@donvi.gov.vn
NV063520,Đặng Ngọc Xuân,dang ngoc xuan,Phòng Nhân sự - Cục Chính trị (BQP),Nhân viên,nv063520@donvi.gov.vn
NV063521,Lý Công Tâm,ly cong tam,Phòng Nhân sự - Cục Chính trị (BQP),Trưởng phòng,nv063521@donvi.gov.vn
NV063522,Bùi Công Quang,bui cong quang,Phòng Hành chính - Cục Tham mưu (CA),Trưởng nhóm,nv063522@donvi.gov.vn
NV063523,Ngô Bích Thủy,ngo bich thuy,Phòng Tác chiến - Cục Chính trị (BQP),Chuyên viên chính,nv063523@donvi.gov.vn
NV063524,Võ Kim Linh,vo kim linh,Phòng Truyền thông - Cục Kỹ thuật (BQP),Chuyên viên,nv063524@donvi.gov.vn
NV063525,Ngô Hữu Đạt,ngo huu dat,Phòng Hành chính - Cục Tham mưu (BQP),Chuyên viên,nv063525@donvi.gov.vn
NV063526,Võ Công Đạt,vo cong dat,Phòng Tác chiến - Cục Kế hoạch - Tài chính (BQP),Trưởng nhóm,nv063526@donvi.gov.vn
NV063527,Đặng Diệu Chi,dang dieu chi,Phòng Thanh tra - Cục Quân huấn (CA),Phó trưởng phòng,nv063527@donvi.gov.vn
NV063528,Võ Thu Linh,vo thu linh,Phòng Công nghệ - Cục Tác chiến (BQP),Trưởng phòng,nv063528@donvi.gov.vn
